Score,Text
0.541,"""How could such a crooked,stuck up,delusional,dim&amp; #dark hearted dud be surprised losing&amp;prob also ppl won't let their crimes drop! #nwo imo"""
0.333,"""Somehow 90% of the sausage in this pasta I made sunk to the bottom so I'm eating sausage with a tiny bit of leftover pasta"""
0.479,"""sadly, war has often been the factor that jump starts US economic growth"""
0.188,"""Thanks to all the #sober drivers. The real winners of the night! #ClemvsGT"""
0.708,"""Interesting topic this evening... sadness &amp; low mood. #MHChat"""
0.562,"""if we don't understand how to express our emotions to others, may lead to sadness / loneliness &amp; neg impact on long term mh #MHChat"""
0.562,"""A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat"""
0.267,""".- thanks for sharing! Surprise guests! &amp; visiting US Tenor Sax . #livemusic #capetown #blues"""
0.562,"""inclined to think that 'documentary' did him more harm than good. If not I despair of people's critical faculties."""
0.458,"""You don't know how to love me when you're sober #sober #selenagomez #revival"""
0.583,"""One step forward, two steps backward, the link to RogerFedererShop doesn´t work.😰 I am losing hope about Roger Federer new Website #sadness"""
0.083,"""Fun tidbit: You can fall asleep on someone while dancing. #blues #latenight"""
0.229,"""#RiceFODays now I am Alex Butler's class on financial management. Starts off with a great, relevant class discussion: movies and sunk costs"""
0.625,"""i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry."""
0.354,"""do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #Autumn"""
0.295,"""pine rider"""
0.146,"""Please bear with me, I'm not Twitter savvy😝 in real life I'm a Facebook person. Help me gain followers 🤓 #blog #selfhelp"""
0.208,"""linc the sink"""
0.949,"""Honestly don't know why I'm so unhappy most of the time. I just want it all to stop :( #itnevergoes"""
0.792,"""nooooo. Poor Blue Bell! not again. #sad"""
0.658,"""The are in contention and hosting nation and Camden is empty #sad"""
0.750,"""I was not made for this world. #empath #unhappy"""
0.521,"""Im kind of confused. The one thing i do right now has a great future, but on the other hand so does the new thing . #needhelp"""
0.521,"""When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology #TMS #ECT"""
0.208,"""Paddy McNair is our joint top scorer......yeah.....justlet that sink in haha"""
0.396,"""^'ll just #wobble carry you #sink"""
0.854,"""What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing"""
0.396,"""“The immense importance of football is sometimes scary. When you don’t win you are responsible for so many unhappy people.” - Arsene Wenger"""
0.583,"""Right i may be an #sufc fan and the football maybe shit but marcos rojo for #mufc has had a shocking start he's just dreadful"""
0.408,"""yeah agree - I think it was a family member and they covered up"""
0.625,"""my heart actually sunk looooool I was so confused"""
0.688,"""Very depressing seeing my whole fam packing to go on holiday tomorrow and I'm just staying here 🙃"""
0.729,""": I can't find my patronus, the website doesn't work, I can't even see the questions.... #sadness..."""
0.238,"""Hey man are you asian?!' Nah man im hispan...'nah you just high as hell.' Some random crackhead in the wal-mart parking lot...cmon #sober"""
0.583,"""I've got #teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly!! ;)"""
0.236,"""what're you doing to my ears? To my soul?! #GoodMusic #melancholy"""
0.312,"""yep &amp; I stayed in pjs all day too lol x"""
0.542,"""I guess it must be really expensive... For me it's that the whole family stayed in Poland, so I really miss them..."""
0.229,"""Have any of you ever stayed in hostels overseas? My only frame of reference is the movie Hostel, and we all know how that went."""
0.312,"""Write drunk. Edit Sober. \nForget to save. Wake hungover.\n#amwriting #sober"""
0.604,"""doing the exact same minus the beer sadly"""
0.311,"""When tears r inappropriate: 'This day is holy to our Lord. Do not grieve, for the joy of the LORD is your strength.' Nehemiah 8:10 NIV #joy"""
0.358,"""yea lol catchy you fret"""
0.354,"""Rooney = whipping boy. #mufc"""
0.467,"""#2 complained then while his head and then called do not despair of God's mercy if you did sins go back to him and ask his forgiveness"""
0.562,"""_Her mind is a #dark room,\nDeveloping #Madness ♨😘"""
0.299,"""Band members wanted. Contact me #NewcastleGateshead #Sunderland #musicians #musicbusiness #musicislife #music #musically #band #blues #folk"""
0.917,"""Overwhelming sadness. This too shall pass. #lonley #startingover"""
0.266,"""\n\nHearing the noises, Akame opened her eyes and sat up, facing Juvia. She didn't expect at all to see someone around and staid --"""
0.292,"""Never let the sadness of your past ruin your future"""
0.354,"""-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal --"""
0.271,"""(whisper) I cannot frown."""
0.450,"""people have so much negativity filled inside them but im always happy that in such a gloomy world someone like u exists Namjoon"""
0.896,"""Go away please ... I'm begging »»» #depression #anxiety #worry #fear #sadness \nDreams of joy and my baby to be found...Sits on #AndisBench"""
0.271,"""Do not be discouraged by a slowing sales market. This will test your business model and pinpoint #strengths and #weaknesses.'"""
0.208,"""The difference between someone's selfies when they're happy vs. unhappy is absolutely amazing."""
0.438,"""Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-)"""
0.667,"""Even a pencil✏ never #stayed with me until it's #end ⚫ 😞"""
0.724,"""Too many are on their 'yeah, the thing going on with cops shooting innocent people is sad - but just not in my backyard, so..' #sad #blm"""
0.438,"""So blend the waters lie\nThere shrines and free- The melancholy waters lie\nNo rays from out the dull tide- As if the vine"""
0.438,"""Don't look. You'll only be very, very unhappy. \n\n(NNGH. I got the email notif THANK YOU.)"""
0.438,"""Glad the TV coverage was so successful because the attendance looked pretty dismal."""
0.250,"""ok yes I get it as much as the next guy -- bikes blues &amp; bbq is frustrating &amp; loud!!! but these ppl are traveling from all over to come --"""
0.500,"""All work and no play makes Jack a dull boy"""
0.792,"""and again dirty and self loathing attitude mope talking"""
0.771,"""Today you visited me in my dreams and even though you aren't physically gone I still mourn you"""
0.542,"""Trying to take what's lost and broken and make it right"""
0.625,"""#mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process #sadness"""
0.271,"""Es, I'm serious 23/8"""
0.369,"""only if YOU will pay for them and YOU will be responsible for them and their doings. #sober #real #blind"""
0.646,"""I am going to make it my life's mission to discourage anyone from using . They will rob you blind"""
0.562,"""media celebrated Don King endorsing #Obama in 08 and 12 now criticize him for endorsing #Trump who wants new Civil Rights era- sad"""
0.542,"""5am blues while riding a cab home:\n- my belly is much bigger than the rest of my body\n- but i couldnt be preggy\n- how to lose it in a day"""
0.188,"""TONIGHT - Fulford Arms, York \nTOMORROW - Bank Top Tavern, Oldham\nNEXT SATURDAY- Big Hands, Manchester \n\n#livemusic #punk #blues #rockandroll"""
0.343,"""Do not grow weary of doing good' a lasting legacy #CGI2016 #thankfulmoment"""
0.604,"""I'm not there yet. Hasn't sunk in yet. Rest up."""
0.354,"""there are #serious #chinks in #India’s #armour'\n#protein\n#malnutrition\n#feedingIndia\n#skillingIndia\n#cognitive"""
0.396,"""you got hacked on your gaming channel grim by evil wood clowns yesterday September 20 and September 21 today"""
0.458,"""- that were rather forlorn, scanning the witches house before resting back on Elphie. 'The Grimmerie is gone.'"""
0.771,"""If you love something, let it go. If it comes back, it is yours. If it doesn't, it never will. #sadness #accepting"""
0.729,"""Need advice on how to get out of this rut!!!! #needmotivation"""
0.250,"""#UPLIFT If you're still discouraged it means UR Listening to the wrong voices &amp; looking to the wrong source. Look to the LORD!"""
0.438,"""— rather someone that could help her. Concern clouded her green eyes, not once having seen a girl alone in the woods and —"""
0.458,"""dude we same fukc i lost my spectacles this morning......."""
0.312,"""Kinda wanna just book a vacation and go...anyone wanna tag along? #adventure #serious"""
0.396,"""Seeing something that hurt so much in the past in front of me now and not a single sign of grieve. Magicalllll. ✨"""
0.771,"""so fucking sad when the person you love doesn't try fighting for your happiness, when you'd do anything for them."""
0.562,"""The new lock sound is grim"""
0.604,"""\nI like your thinking...but sadly no - that's the shed 😢"""
0.417,"""Candace &amp; her pout are getting right on my tits #GBBO"""
0.892,"""We can't even grieve over one black body before another one pops up due to pig brutality"""
0.917,"""So when I try I fail... and when I don't try... I still fail... #confused and #lost"""
0.521,"""Noel Edmonds reckons a cat he's talking to is stressed because of the uncertainty over #GBBO future!?!? #plot #lost"""
0.458,"""Dropped my phone in the sink earlier.No sound, but everythin else works.Prepared myself for life without music until I put my earphones in"""
0.667,"""You're a thief and a liberal mope, investigated by the financial services board for theft of govt retirement funds. THIEF"""
0.542,"""We're in contained depression. Only new economic engine is #Sustainability, say Joel + @ #VERGEcon. #NewGrandStrategy"""
0.708,"""Awake at 5.30am with a seriously bad throat 😩😩😩😩😷🤒 glands feel huuuuuuuge and I'm in uni soon! #grim"""
0.375,"""Season 3 and Charlie is still a prick! #lost"""
0.660,"""I'd rather die alone then end up with somebody who can't be sober"""
0.375,"""I am practically obsessed with it, the very thought of their departure makes me feel both melancholic and grateful. Safe journey"""
0.396,"""Go follow 'juspopmolly' on snapchat that hoe sitting on the sink right now"""
0.667,"""My 2 teens sons just left in the car to get haircuts. I'm praying up a storm that they make it home safely!! #sad #TerenceCrutcher"""
0.400,"""Always borrow money from a pessimist; he doesn't expect to be paid back."""
0.583,"""I'm sadly not, I'm just being smutty"""
0.667,"""sadly not :("""
0.604,"""How do you help someone with #depression who doesn't believe they have it and doesn't trust therapists?"""
0.250,"""9/30 Howland Cultural Center, #BeaconNy Vickie Raabin &amp; Chris Raabe #blues #soul 8pm 845-831-4988"""
0.396,"""Of course not. Didn't sink his studs into a knee like Forrester"""
0.333,"""Transparency and openness ' is a dull sell for a fans group - want more verbs like buying, defending, building and securing."""
0.375,"""were sat in my sat room cloved watchin Manchester Unide v Norffampton do you fink but is still goal fret at iced level"""
0.833,"""Seeing an old coworker and his wife mourn the loss of their 23 year old daughter was one of the saddest things I've ever seen 😢"""
0.271,"""gloomy weather puts me in the best mood"""
0.458,"""me: tis a dreary day today\nfriend: he's a teenager not Shakespeare's reincarnation \n\nim such a dumbass lol"""
0.438,"""I'm always a little bit weary of speaking up because 1. I don't want to hijack the convo - as an LGBT person, I've seen"""
0.729,"""Baaarissshhhhh + sad song = prefect night — feeling alone"""
0.271,"""tones - \n: 1/2 of my favourite chris pine stans. i love tones more than anything, mt sweet summer child i will attack anyone who hurts her"""
0.354,"""gotta say this n put it out there. whoever u r, u should support other people's decisions n not discourage them..."""
0.167,"""This is the #blues #junior. I'm looking forward to play on it as soon as possible. #guitar #guitarrist #music"""
0.354,"""Learning how to use twitter #lost"""
0.492,"""sadness with resentment is the past, sadness with fear is the future. try to live in the now #MHchat"""
0.250,"""#Jazz - the #blues is the roots, the rest is the fruits"""
0.646,"""Actually I always idealize the end of my relationships .. Such a pessimist"""
0.125,"""Getting so excited for 2016!! We play the main stage Sunday Oct. 16 at 3:30!! #jazzholiday #riesbrothers #rock #blues #jam"""
0.229,"""Damn gud #premiere #LethalWeapon...#funny and"""
0.479,"""I really enjoyed both episodes. I had a bit of a gloomy day today but I feel a sense of inspiration from listening."""
0.208,"""That's how you start a season that's how you open the show #show #them #how #dark #hell #can #get #Empire"""
0.708,"""This room is rather dreary, but we endure what we must."""
0.508,"""I'd give that pout the firm D"""
0.250,"""So drunk me hid my keys very well sober me couldn't find it anywhere"""
0.667,"""Had to give my 11yo AfAm son this advice today: 'be polite, no sudden movements, keep hands where they can see them'. #sadness"""
0.542,"""i am about to find the sadness in graham's lyrics"""
0.354,"""Not a great start but good comeback from the boys to earn a point. Bring on Saturday #blues"""
0.240,"""its a gloomy day, im cuddled in my bed watching brendon covering songs and i couldnt be more relaxed or happy 😋"""
0.833,"""come to the funeral tomorrow at 12 to mourn the death of my gpa"""
0.417,"""When we are weak &amp; in despair, our Mighty God is near;He will give us strength &amp; joy &amp; hope, &amp; calm our inner fear, just have faith &amp; trust."""
0.396,"""I'm so serious DM me I'll tell u more"""
0.396,"""Henderson showing that when times are hard he leaves or goes missing #AFLCatsSwans #seenitbefore #lions #blues"""
0.271,"""TGIF! Hope everyone that needs to find #recovery can and that our friends stay #sober this weekend!"""
0.625,"""I wonder what would happen if I were a father. #weary"""
0.417,"""What's a Kali's kitten? [She asked, a frown curling on her fair skinned forehead as he showed her the scar] A cat did - ()"""
0.457,"""Doesnt do it to anyone else, he literally pulled me into the office cause someone complained I spit in the sink yesterday"""
0.375,"""made me laugh, that quote. In a sort of rueful way."""
0.521,"""negative campaign of doom and gloom don't win elections"""
0.625,"""has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging. #scam"""
0.375,"""I've never been fond of having dark eyes until seeing this share."""
0.562,"""Dylon felt dejected. He has a dejected aunt!"""
0.354,"""I don't know why everyone is pretending to be sad about angelina and brad, everyone knows his dumb ass should've stayed with jennifer."""
0.688,"""I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy"""
0.229,"""'the darkest of nights can be bright, the solemn of faces lights up with a smile'. -believe in me, as I do in you"""
0.333,"""Bro Why pine green forget me nots are mediumpurple pickering is not lit and so on"""
0.333,"""Love is when all your happiness and all your sadness and all your feelings are dependent on another person."""
0.750,"""Heart heavy for lost furry family members. Remembering Max and Ozzie. Forever friends as 🐶😇"""
0.688,"""Dreams dashed and divided like million stars in the night sky."""
0.292,"""lmao awe..."""
0.812,"""someone explain female human beings to me, they're depressing me ._."""
0.646,"""great programme tonight #sad #upsetting #extremeworld"""
0.417,"""my god is a full shilling? Seriously you need a major rethink or no lab gove in your lifetime"""
0.417,"""I need all your attention! If I don't I'll pout.."""
0.812,"""Migraine hangover all day. Stood up to do dishes and now I'm exhausted again. GAD, depression &amp; chronic pain #anxiety #pain"""
0.542,"""When you saw a t-shirt with the phrase 'My mind is a dangerous place to be' and you would like to buy, but in Italy don't sell it. #sadness"""
0.729,"""Although this is my best semester so far, this is also my most depressing because I'm constantly reminded that I'm not meant for greatness"""
0.667,"""so gutted i dropped one of my earrings down the sink at school"""
0.250,"""Remember your journey is unique! Don't get discouraged because you're comparing your journey to someone else's. You will get there!"""
0.708,"""stop!!! Don't make me laugh when I'm being sad."""
0.958,"""Feeling worthless as always #depression"""
0.479,"""Listening to at work is my slice of sunshine in this dreary cube world #9to5life"""
0.667,"""Love all the ex United managers on Twitter who form our fanbase. Honestly I despair at times. Just back the fucking team eh #MUFC"""
0.646,"""Brb going to sulk in bed until Friday"""
0.562,"""It's always depressing to sort WordPress plugin recommendations not by 'best' but by 'least offensive in terms of premium features.'"""
0.174,"""she's ahead in the polls &amp; after Trumps dismal performance at upcoming debate, it will be an easy win for Hillary."""
0.646,"""it's pretty depressing when u hit pan on ur favourite highlighter"""
0.667,"""I swear I will not go mourn because😭😭💔💔"""
0.250,"""whatever Sam is holding on your tee looks like it's got a droop on 😂"""
0.729,"""just die depression."""
0.667,"""I think sadness is felt very strongly physically and mentally. It feels like it takes over and it's hard to focus at work #MHChat"""
0.833,"""ring ring! #depression is here"""
0.661,"""Having holiday blues! #WantToGoBackToMinehead."""
0.125,"""I lost my wallet, then found it, then lost it again AND THEN FOUND IT!!!!! \nCollege is brazy"""
0.438,"""It's my last week at CN! I'm gonna be sad to leave, but this will also be my first planned break since going into animation!"""
0.750,"""my god is a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad"""
0.833,"""It's now September and we're still battling a situation that was said to be handled March of this year. this is unacceptable #unhappy"""
0.479,"""Ha yes- the look of despair!"""
0.729,"""Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n#TerranceCrutcher #truth #sad"""
0.896,"""I feel like a burden every day that I waste but I don't know how to get out of this bc I get so discouraged all I wanna do is lay around 🙃"""
0.417,"""I'd pay good money to watch someone slap that pout off Candice."""
0.562,"""ACT 4 #anxiety &amp; #depression group. beginning Mon October 17 for 6 weeks. Contact me to register now! #mindfulness #Halifax"""
0.375,"""Listening to old school house music kentphonic-sunday showers 'hanging around' 'sing it back' #blues"""
0.312,"""bows out for the moment. Rather than sulk, I'm going to for an opinion from the guys studying #Oligodendroglioma. ✌️&amp; ❤️ &amp; 🍩's"""
0.604,"""always unhappy and easily offended."""
0.862,"""When mine pass, I know I'll be inconsolable &amp; devastated. For a while."""
0.542,"""hmmmm...you may have a point... I thought Twitter had got dull 😂. LAMINATION"""
0.625,"""I'll just have to #eat my way to #sobriety. This'll be a hell of a journey back to #sober"""
0.958,"""Depression sucks! #depression"""
0.354,"""I don't care what shape the blues are in. \nWe owe them a fucking hiding. \nLong overdue on that front."""
0.208,"""yeah if you want to become obese it is! 😅 I can afford it so I don't think it's that serious haha"""
0.479,"""Far from safe and staid I found it horribly OTT at times while everyone seemed to be trying just a little too hard. Not for me"""
0.208,"""Her golden brown hues met with those baby blues as her arms crossed over the breasts he had been gulking at. 'Let me guess-"""
0.420,"""some people leave toilets in fucking grim states"""
0.360,"""I don't want perfect. It's too boring and dull."""
0.229,"""well done bro😏 #blues #stategames #captain #shootthegerman"""
0.542,"""Today: Kudos to Jaime Garcia on a fine outing. #encouraging. Last Week: Judo to Jaime Garcia for a dismal outing. #discouraging"""
0.208,"""6 might be a serious number, but 10 sounds better. Wild card race!!"""
0.271,"""Amateurs sit and wait for inspiration, the rest of us just get up and go to work.' -- Stephen King #authors #serious #writingtip"""
0.396,"""Aww rest your weary head here"""
0.375,"""The are in contention and hosting nation and Camden is empty"""
0.812,"""My life went from happy to unhappy.."""
0.417,"""Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery"""
0.396,"""That's me for the evening, though! Way too lit to finish these off properly without causing some serious mischief."""
0.667,"""poor service tonight to find season ticket holders in the seats we purchased online. Forced to move further away #unhappy"""
0.729,"""SAME! I always say it was the best time of my life. I closed my store down and it was so depressing"""
0.312,"""How many tweets is that now? How fast was I going? God, I love being #sober and #intelligent."""
0.606,"""Can Elliot Friedman please stop talking, you are clueless. You haven't seen the ball since the kickoff. #mope"""
0.404,"""Sister: (Canadian player does something shady.) Jonathan Toews is frowning and he doesn't know why. #WorldCupOfHockey"""
0.375,"""It is a solemn thing, and no small scandal in the Kingdom, to see God’s children starving while seated at the Father’s table. -AW Tozer"""
0.521,"""Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan"""
0.604,"""second pair of scales I have bought that have stopped working after battery change. Is this an issue you are aware of? #unhappy"""
0.271,"""80s new wave/techno - or jazz / blues depending my mood"""
0.521,"""lmao awe... #sad"""
0.583,"""Not written for African-American\n\nNo refuge could save the hireling and slave\nFrom the terror of flight or the gloom of the grave,"""
0.583,"""Come here, let me do whatever I do with it. #dismal"""
0.396,"""I have serious problems with the expectation that private philanthropy should replace functional government services...this is dangerous"""
0.088,"""that's so pretty! I love the sky in the background and the purple highlights with the dull colors is great"""
0.396,"""Lol yeah I read that but I stayed up and didn't nap tillI collect 3 people who I think they've got me 😂😂!!"""
0.438,"""Now I'm going to sulk again for a week until #OurGirl is back on! and are the best!"""
0.675,"""as a musician, I can tell you that more people get discouraged when learning because of shitty instruments than anything else."""
0.479,"""I saw someone discourage someone from following their dreams. Just because you want to live in mediocrity doesn't mean someone else should."""
0.440,"""Trying to think positive, and not let this situation discourage me ✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨"""
0.767,"""No one wants to win the wild card because you have to play the Cubs on the road. #sadness"""
0.656,"""♪OLD FISH #discourage"""
0.146,"""The new song is mega 💥 reminds me of #blues"""
0.833,"""I came to work for no reason 😩🔫\nI could've stayed in bed"""
0.479,"""Good - cuz that's what Trump is: a fucken 'N'azi. Don King-u havnt sunk this low since u set up Mike Tyson. 2 pathetic Dons."""
0.479,"""Their engine runs on fuel called whining :-)\n\nU jst hv 2b observant..\nHar din Rona dhona &amp; complain. \nHappy news makes them unhappy :-)"""
0.708,"""When you lose somebody close to your heart you lose yourself as well 💔"""
0.333,"""#savemoney and #savelifes @ your #openbar #weddingreception. Close it 1-2 hours early, forcing your guests to sober up before driving."""
0.375,"""Gonna be a loooooong year as a Browns fan. Longer than normal and that's"""
0.563,"""Eating an egg is grim, you are eating the material embodiment of a fart and an unborn chick"""
0.729,"""The snaps/Insta pics I see of the friends I made while in Cali are so unbelievably depressing cause there's no place I'd rather be but there"""
0.917,"""Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression"""
0.542,"""Buddha doesn't possess enough power to deliver you from your affliction!"""
0.640,"""My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru #sad #tumblr"""
0.667,"""Can we go back 2 weeks and start again ?? This is seriously dreadful"""
0.114,"""The two Brians, &amp; , also known as the Nigella Lawsons of #blues &amp; #pizza."""
0.263,"""I involuntarily smile when you frown in photos. And giggle. How annoying!!"""
0.375,"""All this doom and gloom! We scored from open play again! And only conceded two this time. #progress they means a 1-1 draw on Saturday for me"""
0.729,"""Our soldiers in war zones are held to a higher level of rules of engagement than our police officers. #sad"""
0.583,"""The bowl on my new food processor broke, . #sadness."""
0.521,"""That AK47 leave your spine with a frown"""
0.458,"""I thought it was because she once sunk her teeth into something that's meant 2b sooked"""
0.542,"""U know u have too much on ur mind when u find yourself cleaning a stove and kitchen by yourself at almost 3am... #pensive"""
0.312,"""7 pax enjoyed the #gloom"""
0.125,"""I love when #girls are busy in teaching how to #pout while taking #selfie in a mall , their desication is immense #women love #perfection"""
0.312,"""The had a good one but then the reporter quit."""
0.542,"""Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n #TerranceCrutcher #truth"""
0.458,"""I should have stayed at home."""
0.583,"""And there is despair underneath each and every action \nEach and every attempt to pierce the armour of numbness ' -Mgla"""
0.542,"""My nephew sees that i have a frown on my face and he tells me 'you're beautiful '!😢💞😩"""
0.896,"""A night where depression is winning... #depression #fml #help"""
0.438,"""not as sad as the White Sox playing record ;)"""
0.375,"""the grave of a beat, a bravehearted cave lover, cage lover, sage #lover who made #soup of you, twisted to spoony #melancholy, spikes, spices"""
0.396,"""does Remo Williams ever actually 'save' anyone or does he just sulk around killing random undesirables ?"""
0.583,"""she's always so insensitive whenever i grieve idgi"""
0.542,"""i filled out the report on #baitswitch by lets go get them fines levied. #badbusiness #honoryourdeal #unhappy"""
0.812,"""Lament a \nsaddened heart,\nso far &amp; \nyet so near,\nthe years so\ntough &amp; scarred,\nthis lonesome\nroad,\nstill feared! #depression \n\n#poetry #poem"""
0.583,"""sadly his best days are behind him"""
0.333,"""--prepared.\n\n'Not as far as I know.' was her dull reply. 'There are still survivors, members from it. Like I said,-/"""
0.460,"""jeezus God #dark"""
0.708,"""lost my xt nova around hole 8 or 9 #sadness"""
0.333,"""I'm at 349 and just decoded 20 or more blues and not one was over 340, where you getting your blues?"""
0.542,"""It's become a verb. 'I'm gonna Villaseñor all those old contacts I don't need anymore.' #sadness #waitingforexplanation"""
0.812,"""Ffs clan... seriously never been so disheartened"""
0.458,"""It's a #foggy and #dark morning here - so #filter this time. For #lighting purposes. :)"""
0.812,"""bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy"""
0.562,"""haha! She did well today. I can't get beyond her pout annoying me I'm afraid."""
0.625,"""It's hard for most folks to realize how deep the hatred is until you dive into the murky end of the pool. This guy is nuts."""
0.333,"""UPLIFT: If you're still discouraged it means you're listening to the wrong voices &amp; looking to the wrong source. Look to the LORD!"""
0.500,"""no he didn't! They are obviously friends and that clouded his judgement"""
0.417,"""Already plotting next steps if I get cut off by the same minivan in tomorrow's drop-off line. #preschoolpolitics #momthings #serious"""
0.417,"""Is that pessimism or do you just want him to get another week of rest and healing?"""
0.292,"""I tore my MLC playing football in HS. Knees are serious business. Take care of them! Lemme know if you need anything."""
0.208,"""Before the year ends I'll probably get master 12s or flu games, true blues, and space jams."""
0.415,"""I feel strongly that we need to work together to right this dreadful wrong."""
0.312,"""hi Dom I saw u at Notts county away, looking for 1 mufc away ticket will pay"""
0.771,"""My soul is weary of fighting the battles in this world. #BlackInAmerica #WeAreNotSafe"""
0.611,"""this country is going to go to crap no matter who wins this november, isnt it? The more i learn of both the more despondent i am of future"""
0.875,"""wow I'm just really sadden by that. Terrible"""
0.750,"""The weather changed from sunny and bright to gloomy just in time to match my afternoon mood. 😒"""
0.660,"""I don't know how much more of that bloody pout I can take!!"""
0.946,"""My #Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed #anxiety #bipolar #depression"""
0.333,"""I agree. This current, ultra-left Democratic party lost a lot of members, including myself. I switched to Repub."""
